Tree,Linearisation
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN gwejeje_9_10_N)) (AdvVP (UseV hlal_V) (LocAdvNPAdv (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN godi_3_4_N)))) (DetCN (DetNum NumSg) (PossNP (UseN qu_7_8_N) (DetCN (DetNum NumSg) (UseN hlahla_7_8_N))))))))) NoVoc,izingwejeje zihlala emgodini esiqwini sesihlahla
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (UseV hlal_V) (InstrAdvNPAdv (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN ndlu_9_10_N)))) (DetCN (DetNum NumSg) (PossNP (UseN khathi_7_8_N) (DetCN (DetNum NumSg) (UseN phepho_7_8_N)))))))) NoVoc,hlala endlini ngesikhathi sesiphepho
"ChunkPhr (PlusChunk (Imp_Chunker (Imp_Sg_Pos_Chunk (ImpVP (AdvVP (ComplV2 qondis_V2 (DetCN (DetNum NumSg) (UseN moto_9_10_N))) (LocAdvNPAdv (InstrNPAdv (Deverb15 PPos (UseV cophelel_V))) (DetCN (DetNum NumSg) (UseN ndawo_9_10_N))))))) (OneChunk (Symb_Chunker (Symb_Chunk (MkSymb ""yokupaka"")))))",qondisa imoto ngokucophelela endaweni yokupaka
"ChunkPhr (PlusChunk (Imp_Chunker (Imp_Sg_Pos_Chunk (ImpVP (ComplV2 qondanis_V2 (DetCN (DetNum NumSg) (UseN phetho_3_4_N)))))) (PlusChunk (Imp_Chunker (Imp_Sg_Pos_Chunk (ImpVP (ComplV2 es_V2 (UsePron (ProDrop they_Pron)))))) (OneChunk (Symb_Chunker (Symb_Chunk (MkSymb ""uwuphina""))))))",qondanisa umphetho bese uwuphina
"ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2 elul_V2 (Deverb15 PPos (UseV nwebek_V))))))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPastTemp PPos (ProDrop it3_Pron) (ComplV2 z_V2 (UsePron (ProDrop it17_Pron))))) (OneChunk (Symb_Chunker (Symb_Chunk (MkSymb ""kulingane""))))))",welula ukunwebeka ukuze kulingane
"ChunkPhr (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""sinowodrobhu""))) (PlusChunk (N_Chunker (N_Pl_Chunk mkhulu_1a_2a_N)) (PlusChunk (RS_Chunker (RS_Chunk (ProDrop he_Pron) (UseRCl TPresTemp PPos (RelVPShort IdRP (AdvVP (UseVStative akhiw_V) (InstrNPAdv (DetCN (DetNum NumSg) (UseN pulangwe_5_6_N)))))))) (OneChunk (Symb_Chunker (Symb_Chunk (MkSymb ""likathikhi"")))))))",sinowodrobhu omkhulu owakhiwe ngepulangwe likathikhi
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet this_Quant) mata_1a_2a_N)) (AdvVP (UseV enziw_V) (InstrNPAdv (DetCN (DetNum NumSg) (PossNP (UseN khumba_7_8_N) (DetCN (DetNum NumSg) (UseN dube_5_6_N))))))))) NoVoc,lo mata wenziwe ngesikhumba sedube
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN pulazi_5_6_N)))) (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (CopNPAssoc (RelNP (RelNP (DetCN (DetNum NumSg) (UseN nkabi_9_10_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopQuant only_QuantStem)))) (UseRCl TPresTemp PPos (RelVPShort IdRP (ComplV2 dons_V2 (DetCN (DetNum NumSg) (UseN geja_5_6_N))))))))))) NoVoc,epulazini sinenkabi eyodwa edonsa igeja
"ChunkPhr (PlusChunk (NP_Chunker (NP_Nom_Chunk (PostdetCN (UseN nqama_9_10_N) (DemPostdet that_Quant) (DetNum NumSg)))) (PlusChunk (NP_Chunker (NP_Nom_Reduced_Chunk (Deverb15 PPos (UseVStative mel_V)))) (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop it9_Pron)) (UseVStative hlalisw_V))))) (PlusChunk (S_Chunker (S_Chunk (ExistNP (RelNP (UsePron (ProDrop youSg_Pron)) (UseRCl TRemPastTemp PPos (RelVPShort IdRP (AdvVP (ComplV2 ehlukan_V2 (UsePron (ProDrop it17_Pron))) (NaNPAdv (DetCN (DetNum NumPl) (UseN nye_7_8_N)))))))))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ngalesi""))) (PlusChunk (NP_Chunker (NP_Nom_Reduced_Chunk (DetCN (DetNum NumSg) (PossNP (UseN khathi_7_8_N) (Deverb15 PPos (UseV zalanisw_V)))))) (OneChunk (Symb_Chunker (Symb_Chunk (MkSymb ""kwezilwanee""))))))))))",inqama leyo kumele ihlaliswe ngokwehlukana nezinye ngalesi sikhathi sokuzalaniswa kwezilwanee
PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN pulazi_5_6_N)))) (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (CopNPAssoc (ExtConjNP (RelNP (ExtConjNP (RelNP (DetCN (DetNum NumPl) (UseN khomazi_9_10_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA bili_A))))) with_Conj (DetCN (DetNum NumPl) (UseN thokazi_5_6_N))) (UseRCl TPresTemp PPos (RelVP IdRP (AdvVP (CopAP (PositA bili_A)) (PositAdvAdj nye_A))))) with_Conj (RelNP (DetCN (DetNum NumSg) (UseN nkabi_9_10_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopQuant only_QuantStem)))))))))) NoVoc,epulazini sinezinkomazi ezimbili namathokazi amabili kanye nenkabi eyodwa
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN ntu_1_2_N)) (AdvVP (AdvVP (ComplV2 el_V2 (UsePron (ProDrop it3_Pron))) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN zibuko_5_6_N))))) (ConjNAdv where_ConjN (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN fula_3_4_N)) (CopNP (RelNP (UsePron (ProDrop they6_Pron)) (UseRCl TPresTemp PPos (RelVP IdRP (AdvVP (UseVStative jul_V) khona_Adv)))))))))))) NoVoc,abantu bawela ezibukweni lapho umfula ungajulile khona
ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN ngulube_9_10_N)) (ComplV2 thand_V2 (Deverb15 PPos (ComplV2 gingq_V2 (UsePron (ProDrop they8_Pron))))))))) (PlusChunk (NP_Chunker (NP_Loc_Chunk (DetCN (DetNum NumSg) (UseN daka_11_10_N)))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPastTemp PPos (ProDrop it3_Pron) (ComplV2 z_V2 (UsePron (ProDrop youSg_Pron))))) (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop they4_Pron)) (UseVStative hlal_V))))) (OneChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop it9_Pron)) (UseVStative phol_V)))))))))),ingulube ithanda ukuzigingqa odakeni ukuze ihlale ipholile
"ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN ndiza_9_10_N)) (UseV ehl_V))))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""njengoba""))) (OneChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop they4_Pron)) (AdvVP (UseV sondel_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (PossNP (UseN khumulo_7_8_N) (DetCN (DetNum NumPl) (UseN ndiza_9_10_N))))))))))))))",indiza izokwehla njengoba isondela esikhumulweni sezindiza
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (PossNP (UseN nyango_3_4_N) (DetCN (DetNum NumSg) (UseN ngungumbane_9_10_N)))) (AdvVP (CopAP (PositA bukhali_R)) kakhulu_Adv)))) NoVoc,iminyango yengungumbane ibukhali kakhulu
ExtPhrConj (ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TRemPastTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN pristi_1_2_N)) (UseV landis_V)))) NoVoc) (PhrUtt NoPConj (UttS (ExistNP (RelNP (UsePron (ProDrop she_Pron)) (UseRCl TPresTemp PPos (RelVP IdRP (CopPoss (DetCN (DetNum NumSg) (UseN aba_8_N)))))))) NoVoc)) (PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (ComplV2 akh_V2 (DetCN (DetNum NumSg) (UseN Nkulunkulu_1a_2a_N)))))) NoVoc),umpristi walandisa ngokwesaba kwakhe uNkulunkulu
"ChunkPhr (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop he_Pron) (UseV m_V))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""kungekho""))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""lutho""))) (PlusChunk (Adv_Chunker (Adv_Chunk (LocAdvAdv (LocAdvNP (LocNNgaAdv phambi_LocN) (UsePron it17_Pron))))) (PlusChunk comma_Chunk (OneChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop it3_Pron)) (CopNP (RelNP (UsePron (ProDrop they6_Pron)) (UseRCl TPresTemp PPos (RelVPShort IdRP (AdvVP (UseV dlul_V) (InstrNPAdv (DetCN (DetNum NumSg) (UseN moto_9_10_N))))))))))))))))))","uma kungekho lutho ngaphambi kwakho, ungadlula ngemoto"
"ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2 m_V2 (DetCN (DetNum NumSg) (PossNP (UseN bhanana_1a_2a_N) (UsePron we_Pron)))))))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""sewuvuthwe""))) (PlusChunk (Adv_Chunker (Adv_Chunk kakhulu_Adv)) (PlusChunk comma_Chunk (OneChunk (S_Chunker (S_Chunk (UseCl TRemPastTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 enz_V2 (DetCN (DetNum NumSg) (PossNP (UseN nkwa_7_8_N) (DetCN (DetNum NumSg) (UseN bhanana_1a_2a_N))))))))))))))","uma ubhanana wethu sewuvuthwe kakhulu, ngenza isinkwa sikabhanana"
"ChunkPhr (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop youSg_Pron) (UseV m_V))) (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop it7_Pron)) (ComplV2 hlanganis_V2 (ExtConjNP (DetCN (DetNum NumPl) (UseN fana_1_2_N)) with_Conj (DetCN (DetNum NumPl) (UseN ntombazane_9_6_N)))))))) (PlusChunk comma_Chunk (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (CopNPAssoc (DetCN (DetNum NumPl) (UseN ngane_7_8_N))))))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ezingama-30""))) (OneChunk (NP_Chunker (NP_Loc_Chunk (DetCN (DetNum NumSg) (UseN kilasi_5_6_N))))))))))","uma sihlanganisa abafana namantombazane, kunezingane ezingama-30 ekilasini"
"ChunkPhr (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop youSg_Pron) (UseV m_V))) (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2 nqum_V2 (DetCN (DetNum NumSg) (UseN hlahla_7_8_N))))))) (PlusChunk comma_Chunk (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (CopLocative khona_Loc))))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ujengezi""))) (OneChunk (RS_Chunker (RS_Chunk (ProDrop it11_Pron) (UseRCl TFutTemp PPos (RelVPShort IdRP (UseV phum_V)))))))))))","uma unquma isihlahla, kukhona ujengezi oluzophuma"
ChunkPhr (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop youSg_Pron) (UseV m_V))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop it3_Pron) (UseV wis_V))) (OneChunk (S_Chunker (S_Chunk (UseCl TFutTemp PPos (PredVP (AdvNP (DetCN (DetNum NumSg) (UseN tshe_5_6_N)) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumPl) (UseN nzi_6_N))))) (UseVStative minz_V)))))))),uma uwisa itshe emanzini lizominza
ExtPhrConj (PhrUtt NoPConj (UttImpSg PPos (ImpVP (ComplV2 tshal_V2 (DetCN (DetNum NumSg) (UseN mbewu_9_10_N))))) NoVoc) (PhrUtt NoPConj (UttS (AdvS (LocAdvAdv (LocNPAdv (RelNP (DetCN (DetNum NumSg) (UseN hlabathi_9_10_N)) (UseRCl TPastTemp PPos (RelVPShort IdRP (ComplV2 es_V2 (UsePron (ProDrop they_Pron)))))))) (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 sel_V2 (UsePron (ProDrop youPl_Pron))))))) NoVoc),tshala imbewu enhlabathini bese uyanisela
"ChunkPhr (PlusChunk (Imp_Chunker (Imp_Sg_Pos_Chunk (ImpVP (ComplV2 tshal_V2 (DetCN (DetNum NumPl) (PredetN (DemPredet this_Quant) tshalo_8_N)))))) (PlusChunk (NP_Chunker (NP_Loc_Chunk (DetCN (DetNum NumSg) (UseN nqenqema_11_10_N)))) (OneChunk (Symb_Chunker (Symb_Chunk (MkSymb ""lotshani""))))))",tshala lezi zitshalo onqenqemeni lotshani
"ChunkPhr (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop i_Pron) (UseV cel_V))) (PlusChunk (S_Chunker (S_Chunk (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 goq_V2 (DetCN (DetNum NumSg) (UseN payipi_5_6_N))))))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop she_Pron) (UseV m_V))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""usuqedile""))) (OneChunk (VP_Chunker (VP_Inf_Chunk PPos (ComplV3 sel_V3 (UsePron (ProDrop youPl_Pron)) (DetCN (DetNum NumSg) (UseN gadi_9_10_N))))))))))",ngicela ugoqe ipayipi uma usuqedile ukunisela ingadi
ChunkPhr (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop i_Pron) (UseV cel_V))) (PlusChunk (VP_Chunker (VP_Main_Short_Chunk TPastTemp PPos (ProDrop he_Pron) (ComplV2 bal_V2 (Deverb15 PPos (UseV th_V))))) (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (CopAP (PositA ngaki_A)))))) (OneChunk (NP_Chunker (NP_Nom_Chunk (RelNP (DetCN (DetNum NumPl) (UseN ntu_1_2_N)) (UseRCl TPresTemp PPos (RelVPShort IdRP (ComplV2 fun_V2 (DetCN (DetNum NumSg) (UseN tiye_5_6_N)))))))))))),ngicela ubale ukuthi bangaki abantu abafuna itiye
ChunkPhr (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop i_Pron) (UseV cel_V))) (PlusChunk (S_Chunker (S_Chunk (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2 hlobis_V2 (DetCN (DetNum NumSg) (UseN hholo_5_6_N))))))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPastTemp PPos (ProDrop he_Pron) (ComplV2 z_V2 (UsePron (ProDrop it17_Pron))))) (OneChunk (Imp_Chunker (Imp_Sg_Pos_Chunk (ImpVP (ComplV3 lungel_V3 (UsePron (ProDrop it5_Pron)) (DetCN (DetNum NumSg) (UseN cimbi_3_4_N)))))))))),ngicela uhlobise ihholo ukuze lilungele umcimbi
"ChunkPhr (PlusChunk (Imp_Chunker (Imp_Sg_Pos_Chunk (ImpVP (ComplV2 gcobhoz_V2 (DetCN (DetNum NumPl) (UseN jikijolo_5_6_N)))))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""kushokoledi""))) (PlusChunk (RS_Chunker (RS_Chunk (ProDrop he_Pron) (UseRCl TPresTemp PPos (RelVP IdRP (AdvVP (UseVStative ncibilikisiw_V) (LocAdvAdv (LocAdvNP (LocNNgaAdv phambi_LocN) (Deverb15 PPos (UseV b_V))))))))) (OneChunk (VP_Chunker (VP_Main_Chunk TPastTemp PPos (ProDrop she_Pron) (ComplV2 phak_V2 (UsePron (ProDrop they6_Pron)))))))))",gcobhoza amajikijolo kushokoledi oncibilikisiwe ngaphambi kokuba uwaphake
ChunkPhr (PlusChunk (Imp_Chunker (Imp_Pl_Pos_Chunk (ImpVP (ComplV2 hlukanis_V2 (UsePron (ProDrop they8_Pron)))))) (PlusChunk (S_Chunker (S_Chunk (ExistNP (DetCN (DetNum NumPl) (PossNP (UseN qoqo_5_6_N) (RelNP (DetCN (DetNum NumPl) (UseN ntu_1_2_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA ne_A)))))))))) (PlusChunk (Imp_Chunker (Imp_Sg_Pos_Chunk (ImpVP (ComplV2 es_V2 (UsePron (ProDrop they_Pron)))))) (PlusChunk (Imp_Chunker (Imp_Sg_Pos_Chunk (ImpVP (ComplV2 dingid_V2 (UsePron (ProDrop youPl_Pron)))))) (OneChunk (N_Chunker (N_Pl_Chunk buzo_3_4_N))))))),zihlukaniseni ngamaqoqo abantu abane bese nidingide imibuzo
ExtPhrConj (PhrUtt NoPConj (UttImpSg PNeg (ImpVP (ComplV2 shiy_V2 (UsePron (ProDrop it3_Pron))))) NoVoc) (ExtPhrConj (PhrUtt NoPConj (UttS (AdvS (NPAdv (DetCN (DetNum NumSg) (UseN shevu_11_N))) (ExistNP (AdvNP (UsePron (ProDrop it11_Pron)) (NPAdv (DetCN (DetNum NumPl) (UseN gundane_5_6_N))))))) NoVoc) (PhrUtt NoPConj (UttS (AdvS lapho_Adv (UseCl TPastTemp PPos (PredVP (RelNP (DetCN (DetNum NumPl) (RelN (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA nye_A)))) lwane_7_8_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopNP (RelNP (UsePron (ProDrop they6_Pron)) (UseRCl TPastTemp PPos (RelVPShort IdRP (UseV s_V)))))))) (AdvVP (ComplV2 thol_V2 (UsePron (ProDrop it3_Pron))) khona_Adv))))) NoVoc)),ungawushiyi ushevu wamagundane lapho ezinye izilwane ezingase ziwuthole khona
PhrUtt NoPConj (UttImpSg PNeg (ImpVP (ComplV2 bhek_V2 (UsePron (ProDrop it5_Pron))))) (VocNP (DetCN (DetNum NumSg) (ApposN (UseN ngqo_1a_2a_N) langa_5_6_N))),ungalibheki ngqo ilanga
ExtPhrConj (PhrUtt NoPConj (UttImpSg PNeg (ImpVP (ComplV2 yiwis_V2 (DetCN (DetNum NumSg) (UseN gilazi_9_10_N))))) NoVoc) (ChunkPhr (OneChunk exclmark_Chunk)),ungayiwisi ingilazi!
"ChunkPhr (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""bengigade""))) (OneChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (AdvNP (DetCN (DetNum NumSg) (UseN ambane_7_8_N)) (InstrNPAdv (DetCN (DetNum NumSg) (UseN khathi_9_10_N)))) (AdvVP (UseV hamb_V) (LocAdvNPAdv (InstrNPAdv (DetCN (DetNum NumSg) (UseN moto_9_10_N))) (DetCN (DetNum NumSg) (UseN suku_14_N))))))))))",bengigade isambane ngenkathi sihamba ngemoto ebusuku
"ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 thand_V2 (Deverb15 PPos (ComplV2 dl_V2 (DetCN (DetNum NumSg) (UseN kwatapheya_1a_2a_N))))))))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ethositini""))) (PlusChunk (NP_Chunker (NP_Nom_Reduced_Chunk (Deverb15 PPos (UseVStative fakw_V)))) (OneChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (ExtConjNP (UsePron (ProDrop youPl_Pron)) with_Conj (DetCN (DetNum NumSg) (UseN sawoti_11_N))) (CopAP (PositA ncane_A))))))))))",ngithanda ukudla ukwatapheya ethositini kufakwe nosawoti omncane
"ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 thand_V2 (UsePron (ProDrop it17_Pron))))))) (PlusChunk (VP_Chunker (VP_Inf_Chunk PPos (ComplV2 dl_V2 (DetCN (DetNum NumSg) (UseN thelo_7_8_N))))) (PlusChunk dash_Chunk (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ikakhulukazi""))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ama-aphula""))) (OneChunk (Adv_Chunker (Adv_Chunk (NaNPAdv (DetCN (DetNum NumSg) (UseN mango_3_4_N)))))))))))",ngiyakuthanda ukudla isithelo - ikakhulukazi ama-aphula nomango
