Tree,Linearisation
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TPastTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 enjoy_V2 (DetCN (DetNum NumSg) (UseN fish_N)))))) NoVoc,yena umuntu obengenajezi elimakhwezikhwezi akajabulelanga inhlanzi
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_maternal_N) (DetCN (DetNum NumPl) (EmphCN (UseN man_N))))) (ComplV2 enjoy_V2 (DetCN (DetNum NumSg) (UseN cheese_N)))))) NoVoc,umamekazi wawo amadoda akajabulelanga ushizi
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumPl) (EmphCN (UseN human_N))))) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN orange_N)))))) NoVoc,ubabekazi wabo abantu wathenga iwolintshi
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumPl) (EmphCN (UseN boy_N))))) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN banana_N)))))) NoVoc,ubabekazi wabo abafana udle ubhanana
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN man_N))) (UseRCl TPresTemp PPos (RelVP IdRP (UseV laugh_V)))) (ComplV2 grow_V2 (DetCN (DetNum NumSg) (UseN potato_N)))))) NoVoc,yona indoda ehlekayo ayiyukumilisa izambane
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN human_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV cough_V)))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN porridge_N)))))) NoVoc,umuntu ongakhwehleli akathandanga iphalishi
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN man_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 enjoy_V2 (DetCN (DetNum NumSg) (UseN lettuce_N)))))) NoVoc,indoda engenajezi elimakhwezikhwezi ayizukujabulela uletisi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN man_N))) (UseRCl TFutTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN meat_N)))))) NoVoc,yona indoda ezoba nesambulela esikhulu izothanda inyama
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN pumpkin_N)))))) NoVoc,yena umfana ongezukuba najezi elimakhwezikhwezi akadlanga ithanga
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_maternal_N) (DetCN (DetNum NumSg) (EmphCN (UseN man_N))))) (ComplV2 order_V2 (DetCN (DetNum NumSg) (UseN cheese_N)))))) NoVoc,umamekazi wayo indoda uzoku-oda ushizi
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumPl) (EmphCN (UseN boy_N))))) (ComplV2 sell_1_V2 (DetCN (DetNum NumSg) (UseN lettuce_N)))))) NoVoc,ubabekazi wabo abafana wathengisa uletisi
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PPos (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet this_Quant) woman_N)) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN meat_N)))))) NoVoc,le nkosikazi yathenga inyama
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN woman_N))) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 order_V2 (DetCN (DetNum NumSg) (UseN lettuce_N)))))) NoVoc,yona inkosikazi engezukuba nasambulela esikhulu ayi-odanga uletisi
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TPastTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN fruit_N)))))) NoVoc,yena umuntu obengenajezi elimakhwezikhwezi akayukuthenga isithelo
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 order_V2 (DetCN (DetNum NumSg) (UseN mango_N)))))) NoVoc,yena umfana onesambulela esikhulu akazuku-oda umongo
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN girl_N)) (UseRCl TPresTemp PPos (RelVP IdRP (UseV cough_V)))) (ComplV2 cut_V2 (DetCN (DetNum NumSg) (UseN watermelon_N)))))) NoVoc,intombazana ekhwehlelayo isike ikhabe
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TPresTemp PPos (RelVP IdRP (UseV cough_V)))) (ComplV2 eat_V2 (DetCN (DetNum NumPl) (UseN bean_N)))))) NoVoc,yena umuntu okhwehlelayo akazukudla obhontshisi
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet yonder_Quant) girl_N)) (ComplV2 cook_V2 (DetCN (DetNum NumSg) (UseN vegetable_N)))))) NoVoc,leya ntombazana ayizukupheka umfino
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumPl) (UseN man_N)))) (ComplV2 cook_V2 (DetCN (DetNum NumSg) (UseN potato_N)))))) NoVoc,ubabekazi wamadoda akayukupheka izambane
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN boy_N)) (UseRCl TFutTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 sell_1_V2 (DetCN (DetNum NumSg) (UseN potato_N)))))) NoVoc,umfana ozoba nesambulela esikhulu uyothengisa izambane
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumPl) (UseN boy_N)))) (ComplV2 grow_V2 (DetCN (DetNum NumSg) (UseN fruit_N)))))) NoVoc,ubabekazi wabafana uyomilisa isithelo
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN man_N))) (UseRCl TFutTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 enjoy_V2 (DetCN (DetNum NumSg) (UseN watermelon_N)))))) NoVoc,yona indoda ezoba nesambulela esikhulu ijabulele ikhabe
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN tea_N)))))) NoVoc,ubabekazi wakhe umfana akayukuthanda itiye
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TFutTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN vegetable_N)))))) NoVoc,yena umfana ozoba nesambulela esikhulu akadlanga umfino
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumPl) (EmphCN (UseN woman_N))))) (ComplV2 sell_1_V2 (DetCN (DetNum NumSg) (UseN fruit_N)))))) NoVoc,ubabekazi wawo amakhosikazi uthengise isithelo
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN man_N))) (UseRCl TPresTemp PPos (RelVP IdRP (UseV cough_V)))) (ComplV2 sell_1_V2 (DetCN (DetNum NumSg) (UseN mango_N)))))) NoVoc,yona indoda ekhwehlelayo ithengisa umongo
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN boy_N)) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN fish_N)))))) NoVoc,umfana ongezukuba najezi elingemakhwezikhwezi akathandanga inhlanzi
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN man_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 buy_V2 (DetCN (DetNum NumPl) (UseN egg_N)))))) NoVoc,indoda enejezi elimakhwezikhwezi ayizukuthenga amaqanda
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))))) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN avocado_N)))))) NoVoc,ubabekazi wakhe umfana akadlanga ukwatapheya
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN human_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV cough_V)))) (ComplV2 cut_V2 (DetCN (DetNum NumSg) (UseN lettuce_N)))))) NoVoc,umuntu ongakhwehleli akasikanga uletisi
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TPastTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 prepare_V2 (DetCN (DetNum NumPl) (UseN egg_N)))))) NoVoc,yena umfana obenesambulela esikhulu ulungise amaqanda
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN boy_N)) (UseRCl TFutTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN orange_N)))))) NoVoc,umfana ozoba nesambulela esikhulu udle iwolintshi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TPastTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN meat_N)))))) NoVoc,yena umuntu obengenasambulela engesikhulu akadli inyama
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TPastTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 enjoy_V2 (DetCN (DetNum NumSg) (UseN bread_N)))))) NoVoc,yena umuntu obengenajezi elimakhwezikhwezi akayukujabulela isinkwa
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumPl) (UseN girl_N)))) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN vegetable_N)))))) NoVoc,ubabekazi wamantombazana akadlanga umfino
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN human_N)) (UseRCl TFutTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN watermelon_N)))))) NoVoc,umuntu ozoba nesambulela esikhulu akathandanga ikhabe
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN girl_N)) (UseRCl TFutTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 order_V2 (DetCN (DetNum NumSg) (UseN watermelon_N)))))) NoVoc,intombazana ezoba nejezi elimakhwezikhwezi ayi-odi ikhabe
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN fruit_N)))))) NoVoc,yena umfana onejezi elimakhwezikhwezi uthenga isithelo
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN brother_3_N) (DetCN (DetNum NumPl) (EmphCN (UseN boy_N))))) (ComplV2 sell_1_V2 (DetCN (DetNum NumPl) (UseN egg_N)))))) NoVoc,umfowabo wabo abafana uzothengisa amaqanda
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet this_Quant) girl_N)) (ComplV2 want_V2 (DetCN (DetNum NumSg) (UseN tea_N)))))) NoVoc,le ntombazana ayifunanga itiye
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN brother_3_N) (DetCN (DetNum NumSg) (UseN man_N)))) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN orange_N)))))) NoVoc,umfowabo wendoda akayukuthenga iwolintshi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TPastTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN watermelon_N)))))) NoVoc,yena umfana obengenasambulela esikhulu akathengi ikhabe
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_maternal_N) (DetCN (DetNum NumSg) (EmphCN (UseN man_N))))) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN fish_N)))))) NoVoc,umamekazi wayo indoda akadli inhlanzi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN brother_3_N) (DetCN (DetNum NumSg) (EmphCN (UseN human_N))))) (ComplV2 order_V2 (DetCN (DetNum NumSg) (UseN bread_N)))))) NoVoc,umfowabo wakhe umuntu uzoku-oda isinkwa
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV laugh_V)))) (ComplV2 order_V2 (DetCN (DetNum NumSg) (UseN fruit_N)))))) NoVoc,yena umuntu ongahleki aka-odanga isithelo
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN human_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 enjoy_V2 (DetCN (DetNum NumSg) (UseN fruit_N)))))) NoVoc,umuntu onesambulela esikhulu akayukujabulela isithelo
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PPos (PredVP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (ComplV2 enjoy_V2 (DetCN (DetNum NumPl) (UseN bean_N)))))) NoVoc,yena umfana uyojabulela obhontshisi
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN brother_3_N) (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN bread_N)))))) NoVoc,umfowabo wakhe umfana uthande isinkwa
